model,prompt,macro_precision_mean,macro_recall_mean,macro_specificity_mean,macro_f1_mean,macro_f1_std,micro_precision_mean,micro_recall_mean,micro_specificity_mean,micro_f1_mean,micro_f1_std,weighted_precision_mean,weighted_recall_mean,weighted_specificity_mean,weighted_f1_mean,weighted_f1_std,vd_avg_input_tokens,vd_avg_output_tokens,vd_avg_total_tokens,vd_avg_latency_s,vd_total_energy_kwh,vd_total_emissions_kg,vd_energy_kwh_per_1k_total_tokens,vd_total_latency_s,sa_avg_input_tokens,sa_avg_output_tokens,sa_avg_total_tokens,sa_avg_latency_s,sa_total_energy_kwh,sa_total_emissions_kg,sa_energy_kwh_per_1k_input_tokens,sa_energy_kwh_per_1k_output_tokens,sa_energy_kwh_per_1k_total_tokens,sa_total_latency_s,total_energy_kwh,total_emissions_kg,combined_latency_s,energy_kwh_per_run,vd_energy_kwh_std,vd_energy_kwh_min,vd_energy_kwh_max,energy_kwh_per_run_std,energy_kwh_per_run_min,energy_kwh_per_run_max,macro_f1_per_kwh,num_contracts,num_runs
Qwen__Qwen2.5-14B-Instruct,ZS_COT_ROLE_SA,0.3075,0.7047,0.756,0.3858,0.0145,0.3185,0.8467,0.7734,0.4629,0.0146,0.4299,0.8467,0.6173,0.5436,0.0166,712.1022,403.3971,1115.4993,39.1976,2.508041735,0.829454556,0.003282274,26850.3738,825.3971,61.0,886.3971,5.9302,0.393498523,0.130137046,0.000695969,0.00941722,0.000648073,4062.1595,2.901540258,0.959591602,30912.5332,0.580308052,0.008267331,0.492445813,0.511665466,0.008440817,0.570984653,0.590495449,0.6648,137,5
Qwen__Qwen2.5-14B-Instruct,ZS_COT_SA,0.2977,0.6752,0.7601,0.3771,0.0168,0.3271,0.854,0.7803,0.473,0.011,0.4184,0.854,0.599,0.5388,0.0108,718.1022,537.2277,1255.3299,51.3523,3.367629007,1.113735534,0.003916299,35176.3383,959.2263,61.0,1020.2263,5.9337,0.413973993,0.136908654,0.00063003,0.009907239,0.00059236,4064.6148,3.781603,1.250644188,39240.9531,0.7563206,0.031520713,0.634756239,0.709236678,0.032076217,0.716817273,0.792308727,0.4986,137,5
Qwen__Qwen2.5-14B-Instruct,ZS_ROLE_SA,0.2957,0.7276,0.7356,0.3788,0.0097,0.302,0.8525,0.7536,0.446,0.0063,0.4131,0.8525,0.5915,0.5291,0.0088,669.1022,366.0453,1035.1474,35.4251,2.255521415,0.745941532,0.00318093,24266.1914,788.0482,61.0978,849.146,5.9119,0.390277109,0.12907166,0.000722986,0.009325172,0.000670965,4049.6696,2.645798524,0.875013192,28315.861,0.529159705,0.003010596,0.446991178,0.455433886,0.00270413,0.525472906,0.533100225,0.7159,137,5
Qwen__Qwen2.5-14B-Instruct,ZS_SA,0.3079,0.7067,0.7464,0.3927,0.0164,0.3179,0.8701,0.7666,0.4656,0.005,0.4179,0.8701,0.5849,0.5415,0.0064,675.1022,424.4657,1099.5679,42.823,2.900995879,0.959411561,0.003851541,29333.7213,846.4642,61.0978,907.562,6.2318,0.442108552,0.146213249,0.000762482,0.010563618,0.000711151,4268.7651,3.343104431,1.10562481,33602.4864,0.668620886,0.074873118,0.516610864,0.675471631,0.085708508,0.596399522,0.776197708,0.5873,137,5
Qwen__Qwen2.5-7B-Instruct,FS_ROLE_SA,0.3331,0.5985,0.8245,0.4013,0.0097,0.3849,0.7971,0.8405,0.519,0.0168,0.4643,0.7971,0.6961,0.5651,0.011,1981.1022,406.0365,2387.1387,25.0344,1.544426267,0.510769544,0.000944493,17148.5332,828.035,61.3723,889.4073,3.7055,0.2090663,0.069141982,0.000368591,0.004973033,0.000343157,2538.2712,1.753492567,0.579911526,19686.8044,0.350698513,0.010022887,0.300416141,0.321631642,0.010398749,0.341870206,0.363866063,1.1443,137,5
Qwen__Qwen2.5-7B-Instruct,FS_SA,0.3828,0.6203,0.8449,0.4477,0.018,0.4179,0.7941,0.8615,0.5475,0.0117,0.4881,0.7941,0.7126,0.5831,0.0086,1987.1022,507.0949,2494.1971,31.5087,1.950236513,0.644978325,0.001141474,21583.4587,929.1007,61.546,990.6467,3.7285,0.214989424,0.071100873,0.000337803,0.005099491,0.000316816,2553.9988,2.165225937,0.716079198,24137.4575,0.433045187,0.013117545,0.371074371,0.405178368,0.013539292,0.413236861,0.448469797,1.0338,137,5
Qwen__Qwen2.5-7B-Instruct,ZS_COT_ROLE_SA,0.2994,0.5471,0.829,0.3576,0.0157,0.3737,0.7591,0.8403,0.5006,0.0213,0.4667,0.7591,0.7388,0.5594,0.0153,712.1022,426.9869,1139.0891,25.9913,1.308058531,0.432598508,0.001676405,17804.0619,848.9664,61.0,909.9664,3.6818,0.190961143,0.063154288,0.00032837,0.004570088,0.000306358,2522.0149,1.499019674,0.495752796,20326.0768,0.299803935,0.006243918,0.253686584,0.271125215,0.006684243,0.291494322,0.310122806,1.1928,137,5
Qwen__Qwen2.5-7B-Instruct,ZS_COT_SA,0.2773,0.4865,0.8146,0.3284,0.0159,0.3388,0.7109,0.8264,0.4588,0.007,0.4356,0.7109,0.7197,0.5247,0.0109,718.1022,604.9328,1323.035,36.1788,1.839425132,0.608330998,0.002029646,24782.496,1026.9153,61.0,1087.9153,3.6386,0.20272163,0.067043693,0.000288187,0.004851541,0.000272029,2492.4247,2.042146762,0.675374691,27274.9207,0.408429352,0.01211919,0.347145605,0.377766525,0.012515136,0.387052243,0.418816299,0.8041,137,5
Qwen__Qwen2.5-7B-Instruct,ZS_ROLE_SA,0.3144,0.5968,0.806,0.3691,0.0177,0.3536,0.7985,0.8173,0.49,0.0076,0.4711,0.7985,0.7154,0.563,0.0083,669.1022,374.7401,1043.8423,22.7423,1.128488771,0.373211549,0.001578235,15578.4935,796.7299,61.0,857.7299,3.6776,0.186739061,0.061757953,0.000342163,0.004469045,0.000317829,2519.1619,1.315227832,0.434969502,18097.6554,0.263045566,0.006915081,0.218135196,0.236215353,0.007100789,0.255056013,0.273734214,1.4032,137,5
Qwen__Qwen2.5-7B-Instruct,ZS_SA,0.3281,0.5503,0.8322,0.3777,0.008,0.3805,0.7591,0.8452,0.5067,0.0109,0.4765,0.7591,0.7281,0.5609,0.0101,675.1022,471.6015,1146.7036,28.9651,1.435029025,0.474589936,0.001826917,19841.0998,893.5985,61.0,954.5985,3.7022,0.193985268,0.064154406,0.00031691,0.004642462,0.000296659,2536.0251,1.629014293,0.538744342,22377.1248,0.325802859,0.003082735,0.284624589,0.292234287,0.003118673,0.323086446,0.331115991,1.1593,137,5
